RANK,MOVEMENT,PLAYER_ID,PLAYER,GREENS%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,74.43%,1179,1584,-0.32
2,0,45242,Kevin Yu,72.62%,902,1242,-0.30
3,0,52375,Doug Ghim,71.55%,1172,1638,-0.27
4,0,33122,Russell Knox,71.31%,1412,1980,-0.24
5,0,50525,Collin Morikawa,70.99%,1035,1458,-0.30
6,0,29908,C.T. Pan,70.75%,675,954,-0.26
7,0,56762,Will Gordon,70.51%,1358,1926,-0.29
8,2,25900,Lucas Glover,70.50%,1269,1800,-0.28
8,0,46970,Jon Rahm,70.50%,901,1278,-0.34
10,-1,27129,Luke List,70.37%,1216,1728,-0.28
11,5,56630,Akshay Bhatia,70.35%,1013,1440,-0.30
12,-1,54783,Dylan Wu,70.30%,1316,1872,-0.29
13,-1,36799,Stephan Jaeger,70.10%,1489,2124,-0.30
14,3,29535,Brice Garnett,70.04%,1059,1512,-0.27
15,-1,45609,Tyler Duncan,70.00%,1134,1620,-0.26
16,-1,39324,J.J. Spaun,69.90%,1233,1764,-0.26
17,1,35450,Patrick Cantlay,69.75%,904,1296,-0.34
18,1,28775,Nate Lashley,69.74%,1318,1890,-0.30
19,1,34256,Andrew Putnam,69.72%,1393,1998,-0.26
20,3,27936,Martin Laird,69.70%,1079,1548,-0.27
21,-8,49453,Trevor Cone,69.65%,1003,1440,-0.26
22,-1,46414,Aaron Rai,69.63%,1316,1890,-0.27
23,2,53165,Doc Redman,69.59%,952,1368,-0.24
24,-2,55182,Tom Kim,69.51%,1126,1620,-0.32
25,-1,39997,Corey Conners,69.38%,1024,1476,-0.29
26,6,40250,Taylor Pendrith,69.24%,1209,1746,-0.28
26,0,52513,Carson Young,69.24%,1184,1710,-0.28
28,0,36871,Matt NeSmith,69.18%,1183,1710,-0.25
29,0,30163,Henrik Norlander,69.16%,1108,1602,-0.24
30,-3,22056,Cameron Percy,69.14%,784,1134,-0.24
31,-1,29725,Tony Finau,69.11%,1045,1512,-0.30
32,1,46340,Alex Smalley,69.08%,1343,1944,-0.28
33,8,19803,Ryan Armour,69.07%,1119,1620,-0.26
33,-2,52372,Cameron Champ,69.07%,920,1332,-0.27
35,-2,51070,Vincent Norrman,69.02%,1056,1530,-0.30
36,-1,52453,Nicolai Hojgaard,68.96%,571,828,-0.32
37,27,32816,Satoshi Kodaira,68.93%,732,1062,-0.26
38,-2,58168,Davis Thompson,68.84%,1140,1656,-0.30
39,-2,47988,Nick Hardy,68.81%,1412,2052,-0.29
40,-2,26596,Ryan Moore,68.78%,978,1422,-0.28
41,1,35310,Lanto Griffin,68.69%,680,990,-0.25
42,-3,51890,Greyson Sigg,68.65%,1248,1818,-0.28
43,-3,34563,Chesson Hadley,68.64%,1112,1620,-0.31
44,1,25686,Jason Dufner,68.60%,1099,1602,-0.25
45,21,48867,Matti Schmid,68.54%,950,1386,-0.31
46,12,49298,Kramer Hickok,68.52%,1147,1674,-0.25
46,-4,26476,Chez Reavie,68.52%,1184,1728,-0.25
48,-4,55708,Hayden Buckley,68.50%,1011,1476,-0.27
49,-4,48081,Xander Schauffele,68.45%,998,1458,-0.33
50,-3,34098,Russell Henley,68.40%,985,1440,-0.28
50,-3,49771,J.T. Poston,68.40%,1182,1728,-0.30
52,5,39335,Kevin Roy,68.39%,911,1332,-0.28
53,-4,40006,Erik van Rooyen,68.38%,960,1404,-0.30
54,-4,32791,K.H. Lee,68.34%,1267,1854,-0.28
55,-4,34255,Joseph Bramlett,68.33%,984,1440,-0.29
55,-4,32448,James Hahn,68.33%,984,1440,-0.26
57,-4,57366,Cameron Young,68.29%,1008,1476,-0.32
58,-3,49960,Sepp Straka,68.24%,1130,1656,-0.29
59,10,33413,Ben Martin,68.21%,1240,1818,-0.29
59,1,36724,Augusto Núñez,68.21%,1019,1494,-0.25
61,-5,46717,Viktor Hovland,68.18%,1080,1584,-0.34
62,-4,39975,Michael Kim,68.16%,1190,1746,-0.26
63,-9,31577,Tano Goya,68.15%,1055,1548,-0.29
64,-2,32102,Rickie Fowler,68.11%,1177,1728,-0.31
65,5,36801,Mark Hubbard,68.08%,1397,2052,-0.29
66,-5,52374,Brandon Wu,68.07%,1360,1998,-0.30
67,-4,51414,Brent Grant,68.06%,980,1440,-0.27
68,-3,31646,Emiliano Grillo,67.99%,1383,2034,-0.28
69,-2,31323,Gary Woodland,67.94%,1015,1494,-0.25
70,1,23320,Ryan Palmer,67.89%,941,1386,-0.30
71,-3,28237,Rory McIlroy,67.88%,782,1152,-0.33
71,5,27963,Chris Stroud,67.88%,672,990,-0.25
73,6,12716,Charley Hoffman,67.82%,940,1386,-0.26
74,-2,45157,Cam Davis,67.77%,1110,1638,-0.29
75,-2,51766,Wyndham Clark,67.76%,1244,1836,-0.33
76,-2,48699,Callum Tarren,67.70%,1182,1746,-0.29
77,-1,33399,Adam Hadwin,67.61%,1071,1584,-0.30
78,6,37338,Zecheng Dou,67.60%,1156,1710,-0.28
79,-4,32366,Kevin Chappell,67.59%,657,972,-0.29
80,7,36326,David Lipsky,67.48%,1251,1854,-0.27
81,-3,49766,Hank Lebioda,67.42%,716,1062,-0.23
82,-2,39546,Keith Mitchell,67.39%,1116,1656,-0.30
83,-2,23108,Matt Kuchar,67.37%,1055,1566,-0.29
84,-2,35532,Tom Hoge,67.36%,1261,1872,-0.32
84,-2,55893,Sam Stevens,67.36%,1261,1872,-0.28
86,-2,47347,Adam Schenk,67.34%,1394,2070,-0.26
87,-1,40115,Adam Svensson,67.33%,1430,2124,-0.29
88,0,32333,Kevin Tway,67.24%,1174,1746,-0.27
89,0,34076,Joel Dahmen,67.09%,1111,1656,-0.25
90,11,55454,Carl Yuan,67.08%,966,1440,-0.30
91,-1,33141,Keegan Bradley,67.07%,990,1476,-0.32
92,7,31557,Jim Herman,67.04%,905,1350,-0.21
93,13,39954,Cody Gribble,67.00%,796,1188,-0.27
94,-2,27644,Brian Harman,66.92%,1072,1602,-0.30
95,-2,54421,Garrick Higgo,66.88%,1240,1854,-0.30
96,-2,35461,Beau Hossler,66.87%,1324,1980,-0.31
97,-2,39977,Max Homa,66.86%,1035,1548,-0.34
97,-2,32839,Hideki Matsuyama,66.86%,1047,1566,-0.29
99,-8,39067,MJ Daffue,66.83%,1215,1818,-0.30
99,-2,47983,Chad Ramey,66.83%,1215,1818,-0.29
101,0,27974,Sung Kang,66.78%,565,846,-0.28
101,11,24140,Sean O'Hair,66.78%,601,900,-0.26
103,-5,28089,Jason Day,66.74%,961,1440,-0.31
104,4,54591,Ben Griffin,66.62%,1379,2070,-0.30
105,-5,57362,Austin Eckroat,66.61%,1127,1692,-0.28
106,-4,29289,S.Y. Noh,66.58%,803,1206,-0.31
107,-4,27214,Kevin Streelman,66.49%,1125,1692,-0.25
108,-4,39971,Sungjae Im,66.45%,1244,1872,-0.32
109,1,57975,Harry Hall,66.39%,1219,1836,-0.32
110,-3,34363,Tyrrell Hatton,66.38%,932,1404,-0.32
111,-7,40162,Justin Lower,66.36%,1278,1926,-0.30
112,-4,27554,Scott Harrington,66.31%,931,1404,-0.29
112,-1,33204,Shane Lowry,66.31%,740,1116,-0.27
112,4,52411,Kyle Westmoreland,66.31%,919,1386,-0.26
115,14,51997,Andrew Novak,66.24%,1085,1638,-0.27
116,4,47079,Harrison Endycott,66.22%,1037,1566,-0.26
116,11,35449,Adam Long,66.22%,1323,1998,-0.29
118,6,35879,Kelly Kraft,66.21%,1025,1548,-0.28
119,-6,47993,Denny McCarthy,66.20%,1144,1728,-0.30
119,-6,37275,Sam Ryder,66.20%,1275,1926,-0.33
119,-4,50095,Austin Smotherman,66.20%,1144,1728,-0.29
122,3,20229,Stewart Cink,66.08%,904,1368,-0.29
123,-7,34431,Robert Streb,66.02%,915,1386,-0.26
124,-1,47995,Davis Riley,66.01%,1212,1836,-0.29
125,-7,50493,Justin Suh,65.96%,1306,1980,-0.31
126,-7,40058,Zac Blair,65.94%,902,1368,-0.28
127,10,32757,Patton Kizzire,65.91%,1139,1728,-0.31
128,-7,30926,Chris Kirk,65.85%,1043,1584,-0.29
128,-7,22405,Justin Rose,65.85%,806,1224,-0.31
130,17,24502,Adam Scott,65.77%,805,1224,-0.34
131,-6,33448,Justin Thomas,65.74%,852,1296,-0.30
132,6,30927,Brendon Todd,65.72%,1183,1800,-0.31
133,-5,30692,Scott Stallings,65.65%,969,1476,-0.26
134,-4,36699,Patrick Rodgers,65.63%,1205,1836,-0.29
135,-4,25493,Nick Taylor,65.59%,1098,1674,-0.31
136,4,51349,Nico Echavarria,65.54%,873,1332,-0.27
137,-5,54628,Lee Hodges,65.52%,1262,1926,-0.27
138,-5,37455,Si Woo Kim,65.51%,1132,1728,-0.29
139,-4,28252,Seamus Power,65.45%,966,1476,-0.31
140,-4,47591,Eric Cole,65.44%,1437,2196,-0.34
141,8,34610,Matthias Schwab,65.40%,1189,1818,-0.26
142,-3,22371,Aaron Baddeley,65.35%,894,1368,-0.30
143,-3,24024,Zach Johnson,65.32%,776,1188,-0.23
144,8,27349,Alex Noren,65.28%,1034,1584,-0.28
145,-11,24925,Jonathan Byrd,65.23%,681,1044,-0.24
146,-2,32640,Troy Merritt,65.19%,1056,1620,-0.26
147,-4,40098,Matt Fitzpatrick,65.14%,856,1314,-0.30
148,-3,45522,Christiaan Bezuidenhout,65.11%,1043,1602,-0.29
149,6,46435,Austin Cook,65.06%,972,1494,-0.26
150,-4,46441,Robby Shelton,65.03%,1194,1836,-0.29
150,-8,35617,Martin Trainer,65.03%,714,1098,-0.30
152,-4,48119,Ben Taylor,64.96%,1216,1872,-0.27
153,-3,51634,Sahith Theegala,64.94%,1239,1908,-0.33
154,-3,35506,Mackenzie Hughes,64.90%,993,1530,-0.29
155,3,25818,Scott Piercy,64.85%,1109,1710,-0.30
156,0,48887,Matt Wallace,64.62%,977,1512,-0.26
157,0,30911,Tommy Fleetwood,64.56%,860,1332,-0.32
158,3,59018,Ryan Gerard,64.54%,697,1080,-0.31
159,-5,35901,Paul Haley II,64.51%,1045,1620,-0.26
159,6,31202,William McGirt,64.51%,569,882,-0.28
161,-1,33653,Thomas Detry,64.50%,1103,1710,-0.31
162,6,28420,Ryan Brehm,64.48%,975,1512,-0.28
163,-4,51491,Brandon Matthews,64.41%,684,1062,-0.25
164,-11,33597,Harry Higgs,64.38%,927,1440,-0.31
165,7,33410,Andrew Landry,64.14%,912,1422,-0.26
165,-3,49947,Taylor Moore,64.14%,1166,1818,-0.28
167,-3,33948,Byeong Hun An,64.13%,1212,1890,-0.32
168,-2,34099,Harris English,64.04%,1072,1674,-0.27
168,-2,34046,Jordan Spieth,64.04%,830,1296,-0.30
170,-8,58967,Trevor Werbylo,63.99%,933,1458,-0.25
171,-2,25632,Jimmy Walker,63.96%,967,1512,-0.26
172,5,33408,Tyson Alexander,63.86%,1069,1674,-0.28
173,-3,32662,Michael Gligic,63.85%,816,1278,-0.25
174,0,48084,Wesley Bryan,63.76%,505,792,-0.28
175,-4,29420,Billy Horschel,63.71%,711,1116,-0.28
176,-3,47504,Sam Burns,63.65%,928,1458,-0.33
177,3,51950,Max McGreevy,63.58%,1030,1620,-0.26
178,-4,46601,Trey Mullinax,63.54%,812,1278,-0.25
179,-4,50188,S.H. Kim,63.36%,1266,1998,-0.30
180,-4,48117,Kurt Kitayama,63.27%,820,1296,-0.27
181,-2,29221,Webb Simpson,63.03%,624,990,-0.30
182,-4,27095,Nick Watney,62.99%,839,1332,-0.26
183,-2,47128,Richy Werenski,62.60%,1093,1746,-0.32
184,-1,34466,Peter Malnati,62.49%,1046,1674,-0.30
185,-3,55789,Taylor Montgomery,62.30%,1099,1764,-0.37
186,-1,31560,Brian Stuard,62.13%,794,1278,-0.29
187,-1,39058,Lucas Herbert,62.10%,693,1116,-0.32
188,-5,46442,Maverick McNealy,62.05%,659,1062,-0.31
189,-2,32139,Danny Willett,61.19%,738,1206,-0.25
190,-2,34409,David Lingmerth,60.92%,943,1548,-0.27
191,-2,29970,Dylan Frittelli,59.21%,810,1368,-0.28