RANK,MOVEMENT,PLAYER_ID,PLAYER,SCRAMBLING%,PAR OR BETTER,MISSED GIR
1,0,27644,Brian Harman,67.74%,359,530
2,0,39324,J.J. Spaun,65.91%,350,531
3,0,23108,Matt Kuchar,65.75%,336,511
4,0,24925,Jonathan Byrd,65.56%,238,363
5,0,30911,Tommy Fleetwood,65.47%,309,472
6,1,30927,Brendon Todd,65.32%,403,617
7,-1,46435,Austin Cook,65.13%,340,522
8,0,46046,Scottie Scheffler,64.94%,263,405
9,0,33948,Byeong Hun An,64.90%,440,678
10,12,32816,Satoshi Kodaira,64.85%,214,330
11,-1,40098,Matt Fitzpatrick,64.63%,296,458
12,-1,47993,Denny McCarthy,64.55%,377,584
13,-1,39977,Max Homa,64.52%,331,513
13,-1,46442,Maverick McNealy,64.52%,260,403
15,-1,34256,Andrew Putnam,64.46%,390,605
16,-1,22371,Aaron Baddeley,64.35%,305,474
17,0,50188,S.H. Kim,64.07%,469,732
18,0,34363,Tyrrell Hatton,63.98%,302,472
19,0,28089,Jason Day,63.88%,306,479
20,-4,51997,Andrew Novak,63.83%,353,553
21,-1,32839,Hideki Matsuyama,63.78%,331,519
22,-1,34098,Russell Henley,63.74%,290,455
22,18,26596,Ryan Moore,63.74%,283,444
24,18,24140,Sean O'Hair,63.55%,190,299
25,-1,47591,Eric Cole,63.50%,482,759
26,-1,34099,Harris English,63.29%,381,602
27,-1,35450,Patrick Cantlay,63.27%,248,392
28,6,49298,Kramer Hickok,63.19%,333,527
29,-2,45522,Christiaan Bezuidenhout,63.15%,353,559
30,-8,22056,Cameron Percy,63.14%,221,350
31,-3,37455,Si Woo Kim,63.09%,376,596
32,-3,48081,Xander Schauffele,63.04%,290,460
33,4,31202,William McGirt,62.94%,197,313
34,-1,27963,Chris Stroud,62.89%,200,318
35,0,52375,Doug Ghim,62.88%,293,466
35,-4,34046,Jordan Spieth,62.88%,293,466
37,-7,33653,Thomas Detry,62.77%,381,607
38,0,30163,Henrik Norlander,62.75%,310,494
39,-7,25900,Lucas Glover,62.71%,333,531
40,-4,39971,Sungjae Im,62.58%,393,628
41,12,27349,Alex Noren,62.55%,344,550
42,-3,30926,Chris Kirk,62.48%,338,541
43,-2,32139,Danny Willett,62.39%,292,468
44,0,48084,Wesley Bryan,62.37%,179,287
45,-2,35461,Beau Hossler,62.35%,409,656
46,-2,36799,Stephan Jaeger,62.20%,395,635
47,-2,46717,Viktor Hovland,62.10%,313,504
47,-2,40115,Adam Svensson,62.10%,431,694
49,-2,51766,Wyndham Clark,61.99%,367,592
49,-2,33399,Adam Hadwin,61.99%,318,513
51,-2,36699,Patrick Rodgers,61.97%,391,631
52,-2,22405,Justin Rose,61.96%,259,418
53,-2,47504,Sam Burns,61.89%,328,530
54,0,49947,Taylor Moore,61.66%,402,652
55,-3,54591,Ben Griffin,61.65%,426,691
56,-1,57362,Austin Eckroat,61.59%,348,565
57,-1,55182,Tom Kim,61.54%,304,494
57,-1,46970,Jon Rahm,61.54%,232,377
59,-1,32102,Rickie Fowler,61.52%,339,551
60,-1,45157,Cam Davis,61.36%,324,528
61,-1,28237,Rory McIlroy,61.35%,227,370
62,0,29725,Tony Finau,61.24%,286,467
63,3,46340,Alex Smalley,61.23%,368,601
64,0,47347,Adam Schenk,61.09%,413,676
65,2,25818,Scott Piercy,61.06%,367,601
66,2,36724,Augusto Núñez,61.05%,290,475
66,-1,51890,Greyson Sigg,61.05%,348,570
68,-5,32640,Troy Merritt,60.99%,344,564
69,-8,31577,Tano Goya,60.85%,300,493
70,0,54628,Lee Hodges,60.84%,404,664
71,7,36801,Mark Hubbard,60.76%,398,655
72,-1,35506,Mackenzie Hughes,60.71%,326,537
73,13,35310,Lanto Griffin,60.65%,188,310
74,-2,39975,Michael Kim,60.61%,337,556
75,-2,46441,Robby Shelton,60.59%,389,642
76,-2,47079,Harrison Endycott,60.49%,320,529
77,23,39954,Cody Gribble,60.46%,237,392
78,-3,25493,Nick Taylor,60.42%,348,576
79,2,35449,Adam Long,60.30%,407,675
79,-3,55789,Taylor Montgomery,60.30%,401,665
81,-3,46414,Aaron Rai,60.28%,346,574
82,8,29908,C.T. Pan,60.22%,168,279
82,-2,37275,Sam Ryder,60.22%,392,651
84,-2,30692,Scott Stallings,60.16%,305,507
85,-16,34466,Peter Malnati,60.03%,377,628
86,-3,48887,Matt Wallace,60.00%,321,535
87,-2,24024,Zach Johnson,59.95%,247,412
88,22,31560,Brian Stuard,59.92%,290,484
89,-13,25632,Jimmy Walker,59.82%,326,545
90,11,39058,Lucas Herbert,59.81%,253,423
90,-3,50525,Collin Morikawa,59.81%,253,423
92,-8,32333,Kevin Tway,59.79%,342,572
93,11,40162,Justin Lower,59.72%,387,648
94,-6,34255,Joseph Bramlett,59.65%,272,456
94,-6,34563,Chesson Hadley,59.65%,303,508
96,-2,57975,Harry Hall,59.64%,368,617
97,-1,33410,Andrew Landry,59.61%,304,510
98,-7,47983,Chad Ramey,59.54%,359,603
99,0,54783,Dylan Wu,59.53%,331,556
100,-8,34431,Robert Streb,59.45%,280,471
101,-7,34409,David Lingmerth,59.34%,359,605
102,-4,32791,K.H. Lee,59.28%,348,587
103,-11,32757,Patton Kizzire,59.25%,349,589
104,18,12716,Charley Hoffman,59.19%,264,446
105,-8,29535,Brice Garnett,59.16%,268,453
106,0,34610,Matthias Schwab,59.14%,372,629
107,-5,51634,Sahith Theegala,59.04%,395,669
108,-5,48117,Kurt Kitayama,59.03%,281,476
109,-4,49771,J.T. Poston,58.97%,322,546
110,-1,33413,Ben Martin,58.82%,340,578
111,-4,33448,Justin Thomas,58.78%,261,444
112,-4,27214,Kevin Streelman,58.73%,333,567
113,-1,35879,Kelly Kraft,58.70%,307,523
114,6,49766,Hank Lebioda,58.67%,203,346
115,6,56630,Akshay Bhatia,58.55%,250,427
116,-5,54421,Garrick Higgo,58.47%,359,614
117,-4,28775,Nate Lashley,58.39%,334,572
118,-4,40058,Zac Blair,58.37%,272,466
118,-4,31646,Emiliano Grillo,58.37%,380,651
120,-4,39546,Keith Mitchell,58.33%,315,540
120,-4,58168,Davis Thompson,58.33%,301,516
122,-4,27936,Martin Laird,58.21%,273,469
123,0,34076,Joel Dahmen,58.17%,317,545
124,2,32366,Kevin Chappell,58.10%,183,315
124,0,35532,Tom Hoge,58.10%,355,611
124,16,40250,Taylor Pendrith,58.10%,312,537
127,-2,26476,Chez Reavie,58.09%,316,544
128,6,35617,Martin Trainer,58.07%,223,384
129,0,50095,Austin Smotherman,58.05%,339,584
130,-3,28252,Seamus Power,58.04%,296,510
131,0,55893,Sam Stevens,57.77%,353,611
132,-4,33122,Russell Knox,57.75%,328,568
133,13,39335,Kevin Roy,57.72%,243,421
134,-2,39067,MJ Daffue,57.71%,348,603
134,-4,58967,Trevor Werbylo,57.71%,303,525
136,-3,51070,Vincent Norrman,57.59%,273,474
137,7,35901,Paul Haley II,57.57%,331,575
137,-19,29289,S.Y. Noh,57.57%,232,403
139,23,20229,Stewart Cink,57.54%,267,464
140,7,52374,Brandon Wu,57.52%,367,638
141,-2,25686,Jason Dufner,57.46%,289,503
142,-6,52513,Carson Young,57.41%,302,526
143,-1,29970,Dylan Frittelli,57.35%,320,558
144,-6,39997,Corey Conners,57.30%,259,452
144,7,51349,Nico Echavarria,57.30%,263,459
146,-11,24502,Adam Scott,57.28%,240,419
147,2,47128,Richy Werenski,57.12%,373,653
148,13,47988,Nick Hardy,57.03%,365,640
149,-8,33141,Keegan Bradley,57.00%,277,486
150,-8,36871,Matt NeSmith,56.93%,300,527
151,-14,59018,Ryan Gerard,56.92%,218,383
152,-7,46601,Trey Mullinax,56.87%,265,466
153,13,23320,Ryan Palmer,56.85%,253,445
154,-7,57366,Cameron Young,56.84%,266,468
155,-5,45609,Tyler Duncan,56.79%,276,486
156,-4,33408,Tyson Alexander,56.69%,343,605
157,-4,33204,Shane Lowry,56.65%,213,376
158,-3,31323,Gary Woodland,56.58%,271,479
159,-2,48119,Ben Taylor,56.40%,370,656
160,-1,55708,Hayden Buckley,56.34%,262,465
160,-4,33597,Harry Higgs,56.34%,289,513
162,-8,37338,Zecheng Dou,56.32%,312,554
163,-5,19803,Ryan Armour,56.29%,282,501
164,-4,29221,Webb Simpson,56.28%,206,366
165,2,36326,David Lipsky,56.22%,339,603
166,-4,50493,Justin Suh,56.08%,378,674
167,-3,48699,Callum Tarren,55.85%,315,564
168,-3,29420,Billy Horschel,55.80%,226,405
169,0,49453,Trevor Cone,55.38%,242,437
170,2,51950,Max McGreevy,54.92%,324,590
171,4,55454,Carl Yuan,54.85%,260,474
172,1,52411,Kyle Westmoreland,54.82%,256,467
173,-3,49960,Sepp Straka,54.75%,288,526
174,0,27129,Luke List,54.69%,280,512
175,-4,47995,Davis Riley,54.65%,341,624
176,3,48867,Matti Schmid,54.59%,238,436
177,-9,27554,Scott Harrington,54.55%,258,473
178,0,27974,Sung Kang,54.45%,153,281
179,-2,32662,Michael Gligic,54.33%,251,462
180,0,28420,Ryan Brehm,54.00%,290,537
181,-3,31557,Jim Herman,53.93%,240,445
182,-6,45242,Kevin Yu,53.53%,182,340
183,-2,32448,James Hahn,53.51%,244,456
184,0,27095,Nick Watney,53.35%,263,493
185,-3,52453,Nicolai Hojgaard,53.31%,137,257
186,-3,40006,Erik van Rooyen,53.15%,236,444
187,-1,53165,Doc Redman,53.13%,221,416
188,-3,52372,Cameron Champ,52.43%,216,412
189,-1,51414,Brent Grant,51.52%,237,460
190,-3,56762,Will Gordon,51.41%,292,568
191,-2,51491,Brandon Matthews,50.53%,191,378